,City,Lat,Lon,Temp,Humidity,Wind Speed,Cloud,Country,Date Time
0,Avarua,-21.2078,-159.775,75.25,53,3.44,75,CK,1634928516
1,Vitim,59.4511,112.5578,34.5,84,8.79,75,RU,1634928518
2,Calvinia,-31.4707,19.776,50.07,76,15.88,4,ZA,1634928518
3,Dingle,10.9995,122.6711,75.4,93,5.82,100,PH,1634928519
4,Castro,-24.7911,-50.0119,73.27,44,2.82,2,BR,1634928519
5,Lompoc,34.6391,-120.4579,72.01,71,0.0,1,US,1634928520
6,Hobart,-42.8794,147.3294,58.12,94,1.01,90,AU,1634928309
7,Rikitea,-23.1203,-134.9692,74.1,83,23.53,100,PF,1634928425
8,Saskylakh,71.9167,114.0833,-2.65,100,2.84,94,RU,1634928521
9,Yellowknife,62.456,-114.3525,42.42,69,14.97,40,CA,1634928312
10,Cape Town,-33.9258,18.4232,61.27,78,7.0,75,ZA,1634928270
11,Mataura,-46.1927,168.8643,48.56,83,1.43,100,NZ,1634928523
12,Upernavik,72.7868,-56.1549,19.11,91,10.71,100,GL,1634928524
13,Lingyuan,41.24,119.4011,39.97,51,2.8,0,CN,1634928525
14,Fuerte Olimpo,-21.0415,-57.8738,100.0,24,6.87,93,PY,1634928525
15,Busselton,-33.65,115.3333,48.09,78,7.47,4,AU,1634928526
16,Monrovia,6.3005,-10.7969,80.37,86,8.79,100,LR,1634928526
17,Nome,64.5011,-165.4064,34.16,65,11.5,75,US,1634928298
18,Vaini,-21.2,-175.2,69.96,88,8.05,40,TO,1634928527
19,Meadow Lake,34.8014,-106.5436,75.4,19,5.95,22,US,1634928527
20,Ulaangom,49.9811,92.0667,32.63,73,2.1,83,MN,1634928529
21,Abu Dhabi,24.4667,54.3667,86.11,70,4.61,0,AE,1634928482
22,Chamonix,45.9238,6.8693,48.63,91,3.8,84,FR,1634928530
23,Jamestown,42.097,-79.2353,52.09,76,3.0,90,US,1634928300
24,Būlaevo,54.9056,70.4439,39.94,88,17.11,100,KZ,1634928531
25,Purpe,64.4803,76.6897,30.09,93,18.07,100,RU,1634928531
26,Philadelphia,39.9523,-75.1638,71.22,58,1.99,40,US,1634928300
27,Bluff,-46.6,168.3333,49.19,80,3.96,100,NZ,1634927958
28,Gao,16.6362,1.637,92.28,18,7.02,3,ML,1634928533
29,Kalemie,-5.9475,29.1947,72.55,82,7.05,62,CD,1634928534
30,George Town,5.4112,100.3354,78.89,91,5.99,40,MY,1634928371
31,Ürümqi,43.801,87.6005,43.75,49,11.18,0,CN,1634928535
32,Anyang,36.0994,114.3289,49.8,61,1.45,93,CN,1634928536
33,Kapaa,22.0752,-159.319,77.32,88,1.99,40,US,1634928537
34,Fonte Boa,-2.4959,-66.2662,78.89,82,1.99,100,BR,1634928537
35,Zeya,53.75,127.2667,32.65,88,0.92,19,RU,1634928538
36,Djibo,14.1022,-1.6306,95.68,24,3.24,77,BF,1634928538
37,Tasiilaq,65.6145,-37.6368,35.76,83,9.95,100,GL,1634928538
38,Innisfail,-17.5333,146.0333,73.99,84,3.2,39,AU,1634928312
39,Simav,39.0882,28.9777,53.92,54,1.77,0,TR,1634928539
40,Faanui,-16.4833,-151.75,78.8,77,8.99,59,PF,1634928540
41,Ponta do Sol,32.6667,-17.1,72.23,59,6.67,29,PT,1634928540
42,Tiksi,71.6872,128.8694,3.7,99,3.13,100,RU,1634928541
43,Puerto Ayora,-0.7393,-90.3518,78.76,81,9.8,78,EC,1634928542
44,Arraial do Cabo,-22.9661,-42.0278,76.96,64,13.8,0,BR,1634928543
45,Carnarvon,-24.8667,113.6333,68.07,77,13.8,0,AU,1634928544
46,Naze,28.3667,129.4833,65.17,59,14.65,65,JP,1634928544
47,Port-Cartier,50.0334,-66.8654,46.74,97,18.34,100,CA,1634928545
48,Yeniseysk,58.4497,92.1703,41.27,61,11.32,100,RU,1634928545
49,Atuona,-9.8,-139.0333,77.61,79,19.17,17,PF,1634928545
50,Bredasdorp,-34.5322,20.0403,63.28,55,14.97,100,ZA,1634928546
51,Barrow,71.2906,-156.7887,28.42,86,3.44,90,US,1634928546
52,Butaritari,3.0707,172.7902,81.99,79,17.96,100,KI,1634928547
53,Port Blair,11.6667,92.75,80.08,83,3.04,100,IN,1634928549
54,Makkah al Mukarramah,21.4267,39.8261,85.06,46,4.54,6,SA,1634928529
55,Nikolskoye,59.7035,30.7861,47.88,65,17.38,100,RU,1634928549
56,Vaitape,-16.5167,-151.75,78.73,77,8.59,52,PF,1634928550
57,Evensk,61.95,159.2333,3.69,77,7.47,33,RU,1634928550
58,Semey,50.4111,80.2275,38.97,49,15.08,18,KZ,1634928551
59,Nīmbāhera,24.6167,74.6833,68.32,66,5.37,2,IN,1634928551
60,Verkhnechusovskiye Gorodki,58.1671,57.1086,49.75,95,12.06,100,RU,1634928552
61,Marabu,4.4148,114.0089,75.34,100,5.75,40,MY,1634928552
62,Omutninsk,58.67,52.1932,46.29,93,11.07,100,RU,1634928553
63,Shenjiamen,29.9576,122.298,64.9,56,14.07,100,CN,1634928553
64,Ust'-Kulom,61.6864,53.6902,45.46,88,11.1,92,RU,1634928554
65,Salalah,17.0151,54.0924,78.89,69,2.3,0,OM,1634928554
66,Punta Arenas,-53.15,-70.9167,46.51,61,39.12,75,CL,1634928454
67,Pangnirtung,66.1451,-65.7125,26.6,93,9.22,40,CA,1634928555
